original_url,url_norm,hostname,registered_domain,url_length,domain,tld,subdomain,num_subdomains,domain_length,num_dots,num_slashes,num_hyphens,num_underscores,num_digits,num_uppercase,num_lowercase,num_special_chars,has_query,has_fragment,path_length,path_depth,query_length,num_query_params,entropy_domain,entropy_subdomain,entropy_path,has_idn_homoglyph,tld_reputation,suspicious_file_ext,percent_encoding_ratio,sensitive_kw_in_pathquery,num_unique_trigrams,top_trigram,resolved_ips,num_resolved_ips,nameservers,mx_records,cname_chain,ttl_min,ttl_max,ttl_avg,asn_number,asn_org,hosting_country,registrar,registrant_name,registrant_org,registrant_country,whois_creation_date,domain_age_days,whois_expiration_date,domain_expiry_days_left,https,tls_subject_cn,tls_issuer,tls_valid_from,tls_valid_to,tls_san_list,tls_expiry_days_left,tls_self_signed,tls_wildcard,tls_cn_mismatch,tls_free_ca,http_status_code,final_url_after_redirects,num_redirects,redirect_chain,server_header,content_type,content_length,file_extension,long_query_string,num_query_names,query_value_entropy,encoded_param_flag,sensitive_kw_in_path,js_eval,js_document.write,js_atob,js_unescape,js_fromCharCode,js_window.open,favicon_present,favicon_md5,favicon_phash,favicon_path,favicon_error,is_ephemeral_host_flag,ephemeral_provider,parked_flag,parked_reason,lookalike_flag,lookalike_target,lookalike_edit_distance,lookalike_edit_distance_rel,levenshtein_distance,jaccard_similarity,token_similarity_cse,dictionary_word_ratio,keyboard_overlap,language_mismatch,content_semantic,favicon_histogram,logo_detected,layout_dom_hash,image_exif,ocr_text,visual_phishing_intent,blocklist_hit,ct_log_mentions,passive_dns_count,first_seen,last_seen,dom_drift_score,rule_score,label,processed_at,evidence_png,evidence_pdf,screenshot_phash,screenshot_error,target_org,crawled_url,device,error,page_text,num_forms,num_inputs_total,num_password_fields,num_iframes,num_external_scripts,meta_refresh_present,script_html_ratio,cross_domain_forms,js_redirection,num_otp_fields,http_error
http://onlinesbi.sbi,http://onlinesbi.sbi,onlinesbi.sbi,onlinesbi.sbi,20.0,onlinesbi.sbi,sbi,,0.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,False,False,0.0,0.0,0.0,0.0,2.8731406795131336,0.0,0.0,False,normal,,0.0,False,9.0,sbi,103.68.221.190,1.0,"a3-66.akam.net.,a1-148.akam.net.,a22-65.akam.net.,a16-64.akam.net.,a20-64.akam.net.,a5-66.akam.net.",,,411.0,411.0,411.0,45644,"SBI-EMS-NET-IN IT-Networking Department, IN",IN,Synergy Wholesale Accreditations Pty Ltd,"['REDACTED', 'Ashutosh Kumar']",State Bank Of India,IN,2020-04-27T07:30:50,1981.0,2026-04-27T07:30:50,209.0,True,www.onlinesbi.sbi,DigiCert Inc,May 15 00:00:00 2025 GMT,Jun 15 23:59:59 2026 GMT,"['www.onlinesbi.sbi', 'onlinesbi.sbi']",258.0,False,False,True,False,404.0,https://onlinesbi.sbi.bank.in/,2.0,http://onlinesbi.sbi/ -> https://www.onlinesbi.sbi/ -> https://onlinesbi.sbi.bank.in/,,text/html; charset=utf-8,2220.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,b644d3f1011397ff7eca1e98547d64d9,f966b5c9814c8733,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\onlinesbi.sbi_favicon.ico,,False,,True,short_text,False,,9999.0,1.0,,,,,,,,,,,,,,,,,,,,10.0,Benign,2025-09-30T03:33:26.241263,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\onlinesbi.sbi_mobile_1.png,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\onlinesbi.sbi_mobile_1.pdf,bfd02e906a9c1f8c,,Unknown,http://onlinesbi.sbi,mobile,,,,,,,,,,,,,
http://onlinesbi.sbi,http://onlinesbi.sbi,onlinesbi.sbi,onlinesbi.sbi,20.0,onlinesbi.sbi,sbi,,0.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,False,False,0.0,0.0,0.0,0.0,2.8731406795131336,0.0,0.0,False,normal,,0.0,False,9.0,sbi,103.68.221.190,1.0,"a5-66.akam.net.,a22-65.akam.net.,a20-64.akam.net.,a3-66.akam.net.,a16-64.akam.net.,a1-148.akam.net.",,,28.0,28.0,28.0,45644,"SBI-EMS-NET-IN IT-Networking Department, IN",IN,Synergy Wholesale Accreditations Pty Ltd,"['REDACTED', 'Ashutosh Kumar']",State Bank Of India,IN,2020-04-27T07:30:50,1981.0,2026-04-27T07:30:50,209.0,True,www.onlinesbi.sbi,DigiCert Inc,May 15 00:00:00 2025 GMT,Jun 15 23:59:59 2026 GMT,"['www.onlinesbi.sbi', 'onlinesbi.sbi']",258.0,False,False,True,False,404.0,https://onlinesbi.sbi.bank.in/,2.0,http://onlinesbi.sbi/ -> https://www.onlinesbi.sbi/ -> https://onlinesbi.sbi.bank.in/,,text/html; charset=utf-8,2220.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,b644d3f1011397ff7eca1e98547d64d9,f966b5c9814c8733,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\onlinesbi.sbi_favicon.ico,,False,,True,short_text,False,,9999.0,1.0,,,,,,,,,,,,,,,,,,,,10.0,Benign,2025-09-30T03:33:34.317294,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\onlinesbi.sbi_desktop_2.png,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\onlinesbi.sbi_desktop_2.pdf,add16ba1c22ddaa1,,Unknown,http://onlinesbi.sbi,desktop,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://onlinesbi.sbi,,"Page.content: Target page, context or browser has been closed",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sbi.co.in,,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://sbi.co.in/"", waiting until ""networkidle""
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sbicard.com,,"Page.goto: net::ERR_CONNECTION_RESET at http://sbicard.com/
Call log:
  - navigating to ""http://sbicard.com/"", waiting until ""networkidle""
",,,,,,,,,,,,
http://yonobusiness.sbi,http://yonobusiness.sbi,yonobusiness.sbi,yonobusiness.sbi,23.0,yonobusiness.sbi,sbi,,0.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,False,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,normal,,0.0,False,13.0,yon,103.68.221.208,1.0,"a22-65.akam.net.,a1-148.akam.net.,a3-66.akam.net.,a5-66.akam.net.,a16-64.akam.net.,a20-64.akam.net.",,,88.0,88.0,88.0,45644,"SBI-EMS-NET-IN IT-Networking Department, IN",IN,Synergy Wholesale Accreditations Pty Ltd,"['REDACTED', 'Ashutosh Kumar']",State Bank Of India,IN,2018-10-05T13:42:00,2551.0,2026-10-05T13:42:00,370.0,True,yonobusiness.sbi,DigiCert Inc,Jun  6 00:00:00 2025 GMT,Jul  7 23:59:59 2026 GMT,"['yonobusiness.sbi', 'www.yonobusiness.sbi']",280.0,False,False,False,False,403.0,https://yonobusiness.sbi.bank.in/,2.0,http://yonobusiness.sbi/ -> https://yonobusiness.sbi/ -> https://yonobusiness.sbi.bank.in/,,text/html,1171.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,80be62cfbc68f6b69b88d976561e618f,fa252b1ae8859b6a,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\yonobusiness.sbi_favicon.ico,,False,,True,short_text,False,,9999.0,1.0,,,,,,,,,,,,,,,,,,,,10.0,Benign,2025-09-30T03:34:03.774188,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\yonobusiness.sbi_mobile_1.png,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\yonobusiness.sbi_mobile_1.pdf,c19b4342bbf09cba,,Unknown,http://yonobusiness.sbi,mobile,,,,,,,,,,,,,
http://yonobusiness.sbi,http://yonobusiness.sbi,yonobusiness.sbi,yonobusiness.sbi,23.0,yonobusiness.sbi,sbi,,0.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,False,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,normal,,0.0,False,13.0,yon,103.68.221.208,1.0,"a22-65.akam.net.,a1-148.akam.net.,a3-66.akam.net.,a16-64.akam.net.,a20-64.akam.net.,a5-66.akam.net.",,,150.0,150.0,150.0,45644,"SBI-EMS-NET-IN IT-Networking Department, IN",IN,Synergy Wholesale Accreditations Pty Ltd,"['REDACTED', 'Ashutosh Kumar']",State Bank Of India,IN,2018-10-05T13:42:00,2551.0,2026-10-05T13:42:00,370.0,True,yonobusiness.sbi,DigiCert Inc,Jun  6 00:00:00 2025 GMT,Jul  7 23:59:59 2026 GMT,"['yonobusiness.sbi', 'www.yonobusiness.sbi']",280.0,False,False,False,False,403.0,https://yonobusiness.sbi.bank.in/,2.0,http://yonobusiness.sbi/ -> https://yonobusiness.sbi/ -> https://yonobusiness.sbi.bank.in/,,text/html,1171.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,80be62cfbc68f6b69b88d976561e618f,fa252b1ae8859b6a,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\yonobusiness.sbi_favicon.ico,,False,,True,short_text,False,,9999.0,1.0,,,,,,,,,,,,,,,,,,,,10.0,Benign,2025-09-30T03:34:11.227907,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\yonobusiness.sbi_desktop_2.png,C:\Users\Turtleneck-4\Desktop\Phishing_Detection\Phishing_Evidences\yonobusiness.sbi_desktop_2.pdf,b39370ca4accceca,,Unknown,http://yonobusiness.sbi,desktop,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://yonobusiness.sbi,,"Page.content: Target page, context or browser has been closed",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sbiepay.sbi,,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://sbiepay.sbi/"", waiting until ""networkidle""
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sbilife.co.in,,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://sbilife.co.in/"", waiting until ""networkidle""
",,,,,,,,,,,,
